Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.0,100,29.000,0.027,21.897,5.063813636363635
1.5,pixel,0.0,400,29.000,31.899,50.254,4.860566216216219
1.5,pixel,0.0,700,29.000,60.255,78.438,4.799808333333335
1.5,pixel,0.0,1000,29.000,88.439,106.672,4.74881095890411
1.5,pixel,0.0,1300,29.000,116.674,134.903,4.793187671232878
1.5,pixel,0.0,1600,29.000,144.904,163.142,4.895480555555557
1.5,pixel,0.0,1900,29.000,173.144,191.367,4.7931904109589025
1.5,pixel,0.0,2100,29.000,201.369,219.700,4.939139726027397
1.5,pixel,0.0,2400,29.000,229.701,248.092,4.982705405405406
1.5,pixel,0.0,2700,29.000,258.093,276.673,5.002529729729732
1.5,pixel,0.0,3000,29.000,286.674,305.079,5.02732876712329

1.5,pixel,1.0,100,29.000,315.082,333.294,4.938412328767123
1.5,pixel,1.0,400,29.000,343.295,361.580,4.934230136986302
1.5,pixel,1.0,700,29.000,371.584,389.802,4.804847222222223
1.5,pixel,1.0,1000,29.000,399.803,418.121,4.7374410958904125
1.5,pixel,1.0,1300,29.000,428.123,446.362,4.770316438356165
1.5,pixel,1.0,1600,29.000,456.363,474.559,4.6591657534246576
1.5,pixel,1.0,1900,29.000,484.561,502.772,4.6640138888888885
1.5,pixel,1.0,2100,29.000,512.773,531.144,4.779897297297296
1.5,pixel,1.0,2400,29.000,541.145,559.320,4.666205555555557
1.5,pixel,1.0,2700,29.000,569.323,587.618,4.79321780821918
1.5,pixel,1.0,3000,29.000,597.620,615.788,4.734520833333333

1.5,area,0.0,100,29.000,625.793,644.962,5.078453246753247
1.5,area,0.0,400,29.000,654.964,673.976,5.271555263157897
1.5,area,0.0,700,29.000,683.977,702.880,5.231633333333332
1.5,area,0.0,1000,29.000,712.882,732.508,5.328430769230769
1.5,area,0.0,1300,29.000,742.510,761.250,5.213386666666667
1.5,area,0.0,1600,29.000,771.251,790.110,5.292486666666667
1.5,area,0.0,1900,29.000,800.111,819.255,5.194903947368419
1.5,area,0.0,2100,29.000,829.256,848.056,5.1853213333333334
1.5,area,0.0,2400,29.000,858.057,876.844,5.226508000000001
1.5,area,0.0,2700,29.000,886.846,906.052,5.238814285714286
1.5,area,0.0,3000,29.000,916.054,934.905,5.22048266666667

1.5,area,1.0,100,29.000,944.908,963.295,4.975449315068494
1.5,area,1.0,400,29.000,973.296,991.729,4.618894594594596
1.5,area,1.0,700,29.000,1001.730,1020.222,4.733691780821919
1.5,area,1.0,1000,29.000,1030.223,1048.664,4.6763178082191805
1.5,area,1.0,1300,29.000,1058.665,1077.175,4.8383527027027045
1.5,area,1.0,1600,29.000,1087.176,1105.613,4.6867418918918915
1.5,area,1.0,1900,29.000,1115.614,1134.095,4.706365753424659
1.5,area,1.0,2100,29.000,1144.096,1162.551,4.6716324324324345
1.5,area,1.0,2400,29.000,1172.552,1190.990,4.7371136986301385
1.5,area,1.0,2700,29.000,1200.991,1219.406,4.709701369863016
1.5,area,1.0,3000,29.000,1229.408,1247.899,4.759747297297296

First run below

1.5,pixel,0.0,100,29.000,0.025,18.316,4.503587671232877
1.5,pixel,0.0,400,29.000,28.317,46.708,4.271218918918917
1.5,pixel,0.0,700,29.000,56.709,74.972,4.2447616438356155
1.5,pixel,0.0,1000,29.000,84.973,103.364,4.320552054794521
1.5,pixel,0.0,1300,29.000,113.365,131.736,4.387810958904107
1.5,pixel,0.0,1600,29.000,141.737,159.904,4.3266041095890415
1.5,pixel,0.0,1900,29.000,169.905,188.168,4.28764383561644
1.5,pixel,0.0,2100,29.000,198.169,216.492,4.325087671232877
1.5,pixel,0.0,2400,29.000,226.493,244.608,4.395611111111111
1.5,pixel,0.0,2700,29.000,254.609,272.880,4.298468493150686
1.5,pixel,0.0,3000,29.000,282.881,301.128,4.2825643835616445
