Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.060000,2100,24.751,6076.019,6149.024,4.591241580756015
1.5,pixel,0.060000,2400,24.737,6159.026,6232.064,4.5995862542955335
1.5,pixel,0.060000,2700,24.731,6242.066,6315.129,4.600498969072163
1.5,pixel,0.060000,3000,24.753,6325.131,6398.132,4.598347766323023
1.5,pixel,0.070000,100,24.718,6408.135,6481.239,4.61868184931507
1.5,pixel,0.070000,400,24.742,6491.242,6564.272,4.588478350515464
1.5,pixel,0.070000,700,24.717,6574.274,6647.380,4.612958219178078
1.5,pixel,0.070000,1000,24.734,6657.382,6730.438,4.618128522336768
1.5,pixel,0.070000,1300,24.722,6740.441,6813.519,4.6019872852233705
1.5,pixel,0.070000,1600,24.738,6823.521,6896.561,4.6114783505154655
1.5,pixel,0.070000,1900,24.747,6906.563,6979.576,4.58689381443299
1.5,pixel,0.070000,2100,24.703,6989.578,7062.714,4.620553082191778
1.5,pixel,0.070000,2400,24.743,7072.717,7145.746,4.621773539518899
1.5,pixel,0.070000,2700,24.733,7155.748,7228.807,4.6125793814433
1.5,pixel,0.070000,3000,24.729,7238.809,7311.872,4.613918150684933
1.5,pixel,0.080000,100,24.733,7321.875,7394.927,4.6018750000000015
1.5,pixel,0.080000,400,24.737,7404.929,7477.972,4.612431271477664
1.5,pixel,0.080000,700,24.729,7487.974,7561.034,4.616281786941579
1.5,pixel,0.080000,1000,24.729,7571.036,7644.104,4.596143835616439
1.5,pixel,0.080000,1300,24.731,7654.106,7727.168,4.605943986254294
1.5,pixel,0.080000,1600,24.710,7737.170,7810.286,4.605240410958907
1.5,pixel,0.080000,1900,24.725,7820.288,7893.362,4.620012714776633
1.5,pixel,0.080000,2100,24.720,7903.364,7976.453,4.607666323024053
1.5,pixel,0.080000,2400,24.719,7986.455,8059.557,4.614840068493148
1.5,pixel,0.080000,2700,24.731,8069.559,8142.621,4.630850515463915
1.5,pixel,0.080000,3000,24.733,8152.623,8225.670,4.614056506849317
1.5,pixel,0.090000,100,24.738,8235.674,8308.709,4.606201718213061
1.5,pixel,0.090000,400,24.754,8318.711,8391.703,4.6102309278350475
