Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
2.1,pixel,0.060000,2400,29.000,2095.467,2113.807,6.054557534246578
2.1,pixel,0.060000,2700,29.000,2123.807,2142.150,6.045858904109589
2.1,pixel,0.060000,3000,29.000,2152.151,2170.470,6.06109178082192
2.1,pixel,0.070000,100,29.000,2180.472,2198.762,6.01761780821918
2.1,pixel,0.070000,400,29.000,2208.763,2227.098,6.067312328767125
2.1,pixel,0.070000,700,29.000,2237.099,2255.410,6.023027397260273
2.1,pixel,0.070000,1000,29.000,2265.411,2283.734,6.046268493150683
2.1,pixel,0.070000,1300,29.000,2293.735,2312.002,6.091931944444443
2.1,pixel,0.070000,1600,29.000,2322.003,2340.338,6.045485135135136
2.1,pixel,0.070000,1900,29.000,2350.339,2368.674,6.073593150684933
2.1,pixel,0.070000,2100,29.000,2378.675,2397.010,6.081894520547946
2.1,pixel,0.070000,2400,29.000,2407.011,2425.306,6.0782397260273955
2.1,pixel,0.070000,2700,29.000,2435.308,2453.694,6.079802739726028
2.1,pixel,0.070000,3000,29.000,2463.695,2482.006,6.0314205479452045
2.1,pixel,0.080000,100,29.000,2492.008,2510.159,6.032301369863012
2.1,pixel,0.080000,400,29.000,2520.160,2538.338,6.044797222222223
2.1,pixel,0.080000,700,29.000,2548.339,2566.495,6.079816438356164
2.1,pixel,0.080000,1000,29.000,2576.496,2594.675,6.075034722222222
2.1,pixel,0.080000,1300,29.000,2604.676,2622.841,6.026927397260272
2.1,pixel,0.080000,1600,29.000,2632.842,2651.027,6.066995833333333
2.1,pixel,0.080000,1900,29.000,2661.028,2679.194,6.085734722222221
2.1,pixel,0.080000,2100,29.000,2689.195,2707.341,6.0687236111111105
2.1,pixel,0.080000,2400,29.000,2717.341,2735.532,6.053624657534248
2.1,pixel,0.080000,2700,29.000,2745.533,2763.709,6.051089041095888
2.1,pixel,0.080000,3000,29.000,2773.710,2791.866,6.024994444444443
2.1,pixel,0.090000,100,29.000,2801.868,2820.099,6.062153424657529
2.1,pixel,0.090000,400,29.000,2830.100,2848.378,6.047426027397261
2.1,pixel,0.090000,700,29.000,2858.379,2876.598,6.05660138888889
2.1,pixel,0.090000,1000,29.000,2886.599,2904.774,6.001191780821919
2.1,pixel,0.090000,1300,29.000,2914.775,2933.010,6.019712328767124
2.1,pixel,0.090000,1600,29.000,2943.011,2961.294,6.093841095890409
2.1,pixel,0.090000,1900,29.000,2971.295,2989.518,6.067452777777779
2.1,pixel,0.090000,2100,29.000,2999.519,3017.798,6.058498630136986
2.1,pixel,0.090000,2400,29.000,3027.799,3046.026,6.064589041095891
2.1,pixel,0.090000,2700,29.000,3056.027,3074.382,6.032424657534245
2.1,pixel,0.090000,3000,29.000,3084.383,3102.670,6.01555479452055
2.1,pixel,0.100000,100,29.000,3112.672,3130.758,5.988273972602741
2.1,pixel,0.100000,400,29.000,3140.759,3158.950,5.983163013698629
2.1,pixel,0.100000,700,29.000,3168.951,3187.078,5.984243055555557
2.1,pixel,0.100000,1000,29.000,3197.079,3215.196,6.018009589041097
2.1,pixel,0.100000,1300,29.000,3225.197,3243.294,6.0151875
2.1,pixel,0.100000,1600,29.000,3253.295,3271.399,6.004541666666666
2.1,pixel,0.100000,1900,29.000,3281.401,3299.520,5.997982191780822
2.1,pixel,0.100000,2100,29.000,3309.521,3327.683,6.036275
2.1,pixel,0.100000,2400,29.000,3337.684,3355.831,6.016035616438357
2.1,pixel,0.100000,2700,29.000,3365.832,3383.992,6.047893055555555
2.1,pixel,0.100000,3000,29.000,3393.993,3412.124,5.93931095890411
2.1,area,0.000000,100,29.000,3422.126,3440.482,5.7951863013698635
2.1,area,0.000000,400,29.000,3450.483,3468.946,5.837439726027397
2.1,area,0.000000,700,29.000,3478.947,3497.386,5.790331081081083
2.1,area,0.000000,1000,29.000,3507.387,3525.590,5.8486301369863005
2.1,area,0.000000,1300,29.000,3535.591,3553.974,5.872168493150684
2.1,area,0.000000,1600,29.000,3563.975,3582.374,5.777472602739727
2.1,area,0.000000,1900,29.000,3592.375,3610.722,5.7029794520547945
2.1,area,0.000000,2100,29.000,3620.724,3639.182,5.878835616438356
2.1,area,0.000000,2400,29.000,3649.183,3667.590,5.857563513513513
2.1,area,0.000000,2700,29.000,3677.591,3695.846,5.898930136986303
2.1,area,0.000000,3000,29.000,3705.847,3724.234,5.8508602739726046
2.1,area,0.010000,100,29.000,3734.236,3752.391,6.050794520547948
2.1,area,0.010000,400,29.000,3762.392,3780.577,6.071447222222222
2.1,area,0.010000,700,29.000,3790.579,3808.778,6.003021917808222
2.1,area,0.010000,1000,29.000,3818.779,3837.007,6.089226027397258
2.1,area,0.010000,1300,29.000,3847.008,3865.183,6.02367638888889
2.1,area,0.010000,1600,29.000,3875.184,3893.384,6.14363287671233
2.1,area,0.010000,1900,29.000,3903.385,3921.566,6.096905555555553
2.1,area,0.010000,2100,29.000,3931.567,3949.779,5.9622904109589046
2.1,area,0.010000,2400,29.000,3959.780,3977.972,5.978118055555552
2.1,area,0.010000,2700,29.000,3987.973,4006.194,6.132209589041096
2.1,area,0.010000,3000,29.000,4016.195,4034.431,6.147957534246576
2.1,area,0.020000,100,29.000,4044.433,4062.698,6.199421917808217
2.1,area,0.020000,400,29.000,4072.699,4090.954,6.3124452054794515
2.1,area,0.020000,700,29.000,4100.955,4119.218,6.2154555555555575
2.1,area,0.020000,1000,29.000,4129.218,4147.485,6.27102876712329
2.1,area,0.020000,1300,29.000,4157.486,4175.759,6.300849315068493
2.1,area,0.020000,1600,29.000,4185.760,4203.988,6.2460945205479455
2.1,area,0.020000,1900,29.000,4213.989,4232.271,6.259293150684931
2.1,area,0.020000,2100,29.000,4242.271,4260.528,6.304664383561645
2.1,area,0.020000,2400,29.000,4270.529,4288.795,6.261669444444447
2.1,area,0.020000,2700,29.000,4298.796,4317.099,6.209895945945945
