Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.8,pixel,0.000000,100,29.000,0.027,18.309,5.01609589041096
1.8,pixel,0.000000,400,29.000,28.310,46.577,4.901479452054796
1.8,pixel,0.000000,700,29.000,56.578,74.681,4.890326027397265
1.8,pixel,0.000000,1000,29.000,84.682,102.849,4.709245205479452
1.8,pixel,0.000000,1300,29.000,112.850,131.037,4.870923287671235
1.8,pixel,0.000000,1600,29.000,141.038,159.445,4.917543835616438
1.8,pixel,0.000000,1900,29.000,169.446,187.557,4.856288888888887
1.8,pixel,0.000000,2100,29.000,197.558,215.721,4.7851328767123285
1.8,pixel,0.000000,2400,29.000,225.722,244.033,4.868709589041093
1.8,pixel,0.000000,2700,29.000,254.034,272.357,4.905145205479454
1.8,pixel,0.000000,3000,29.000,282.358,300.537,4.920767123287675
1.8,pixel,0.010000,100,29.000,310.539,328.921,5.092665753424659
1.8,pixel,0.010000,400,29.000,338.922,357.281,5.145556756756758
1.8,pixel,0.010000,700,29.000,367.282,385.669,5.185316438356164
1.8,pixel,0.010000,1000,29.000,395.670,414.049,5.060838356164384
1.8,pixel,0.010000,1300,29.000,424.050,442.426,5.12455
1.8,pixel,0.010000,1600,29.000,452.427,470.849,5.134079452054794
1.8,pixel,0.010000,1900,29.000,480.850,499.285,5.066722972972976
1.8,pixel,0.010000,2100,29.000,509.286,527.669,5.157246575342467
1.8,pixel,0.010000,2400,29.000,537.671,556.033,5.0806324324324335
1.8,pixel,0.010000,2700,29.000,566.034,584.422,5.044513513513514
1.8,pixel,0.010000,3000,29.000,594.422,612.845,5.129290410958905
1.8,pixel,0.020000,100,29.000,622.847,641.214,5.1122945945945935
1.8,pixel,0.020000,400,29.000,651.215,669.589,5.2551808219178096
1.8,pixel,0.020000,700,29.000,679.590,698.029,5.219690540540542
1.8,pixel,0.020000,1000,29.000,708.030,726.433,5.2475608108108105
1.8,pixel,0.020000,1300,29.000,736.434,754.845,5.108348648648649
1.8,pixel,0.020000,1600,29.000,764.846,783.286,5.260179452054795
1.8,pixel,0.020000,1900,29.000,793.287,811.733,5.202566216216217
1.8,pixel,0.020000,2100,29.000,821.734,840.190,5.229561643835616
1.8,pixel,0.020000,2400,29.000,850.190,868.682,5.2450918918918905
1.8,pixel,0.020000,2700,29.000,878.683,897.157,5.166174324324323
1.8,pixel,0.020000,3000,29.000,907.158,925.589,5.253547297297295
1.8,pixel,0.030000,100,29.000,935.591,954.054,5.332394520547944
1.8,pixel,0.030000,400,29.000,964.055,982.525,5.38851891891892
1.8,pixel,0.030000,700,29.000,992.526,1011.001,5.399345945945946
1.8,pixel,0.030000,1000,29.000,1021.002,1039.505,5.37257027027027
1.8,pixel,0.030000,1300,29.000,1049.506,1068.041,5.446875675675676
1.8,pixel,0.030000,1600,29.000,1078.042,1096.533,5.433156164383563
1.8,pixel,0.030000,1900,29.000,1106.534,1125.041,5.4430054054054064
1.8,pixel,0.030000,2100,29.000,1135.042,1153.497,5.394563513513512
1.8,pixel,0.030000,2400,29.000,1163.498,1182.014,5.388644594594596
1.8,pixel,0.030000,2700,29.000,1192.014,1210.538,5.41797027027027
1.8,pixel,0.030000,3000,29.000,1220.539,1239.069,5.451171621621623
1.8,pixel,0.040000,100,29.000,1249.071,1267.291,5.532041666666664
1.8,pixel,0.040000,400,29.000,1277.292,1295.508,5.468800000000001
1.8,pixel,0.040000,700,29.000,1305.509,1323.709,5.502006849315069
1.8,pixel,0.040000,1000,29.000,1333.710,1351.919,5.476523611111113
1.8,pixel,0.040000,1300,29.000,1361.920,1380.101,5.475606849315069
1.8,pixel,0.040000,1600,29.000,1390.102,1408.322,5.46022638888889
1.8,pixel,0.040000,1900,29.000,1418.322,1436.533,5.473717808219178
1.8,pixel,0.040000,2100,29.000,1446.534,1464.722,5.50975890410959
1.8,pixel,0.040000,2400,29.000,1474.723,1492.901,5.5074250000000005
1.8,pixel,0.040000,2700,29.000,1502.902,1521.094,5.495131506849314
1.8,pixel,0.040000,3000,29.000,1531.095,1549.312,5.5261972222222235
1.8,pixel,0.050000,100,29.000,1559.314,1577.534,5.4816388888888925
1.8,pixel,0.050000,400,29.000,1587.535,1605.810,5.48183287671233
1.8,pixel,0.050000,700,29.000,1615.811,1634.157,5.478465753424657
1.8,pixel,0.050000,1000,29.000,1644.158,1662.422,5.468595890410961
1.8,pixel,0.050000,1300,29.000,1672.423,1690.698,5.55078219178082
1.8,pixel,0.050000,1600,29.000,1700.699,1719.313,5.517737837837838
1.8,pixel,0.050000,1900,29.000,1729.314,1747.605,5.497413698630136
1.8,pixel,0.050000,2100,29.000,1757.606,1775.909,5.515782191780822
1.8,pixel,0.050000,2400,29.000,1785.910,1804.273,5.510720270270272
1.8,pixel,0.050000,2700,29.000,1814.274,1832.637,5.574338356164383
1.8,pixel,0.050000,3000,29.000,1842.638,1860.937,5.508024657534248
1.8,pixel,0.060000,100,29.000,1870.939,1889.225,5.503113698630139
1.8,pixel,0.060000,400,29.000,1899.226,1917.573,5.547236986301372
1.8,pixel,0.060000,700,29.000,1927.574,1945.909,5.472439726027396
1.8,pixel,0.060000,1000,29.000,1955.910,1974.205,5.498580821917809
1.8,pixel,0.060000,1300,29.000,1984.206,2002.561,5.5475219178082185
1.8,pixel,0.060000,1600,29.000,2012.562,2030.933,5.52643783783784
1.8,pixel,0.060000,1900,29.000,2040.934,2059.329,5.482967123287674
1.8,pixel,0.060000,2100,29.000,2069.330,2087.625,5.5329794520547955
1.8,pixel,0.060000,2400,29.000,2097.627,2115.997,5.555876712328768
1.8,pixel,0.060000,2700,29.000,2125.998,2144.374,5.485568918918918
1.8,pixel,0.060000,3000,29.000,2154.375,2172.686,5.540253424657531
1.8,pixel,0.070000,100,29.000,2182.688,2200.970,5.530624657534247
1.8,pixel,0.070000,400,29.000,2210.971,2229.218,5.569984722222222
1.8,pixel,0.070000,700,29.000,2239.219,2257.538,5.567574324324326
1.8,pixel,0.070000,1000,29.000,2267.539,2285.874,5.512439189189188
1.8,pixel,0.070000,1300,29.000,2295.875,2314.221,5.528316438356163
