Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.000000,100,29.000,0.025,18.383,4.8696
1.5,pixel,0.000000,400,29.000,28.384,46.794,4.879437837837836
1.5,pixel,0.000000,700,29.000,56.796,75.211,4.891927397260274
1.5,pixel,0.000000,1000,29.000,85.213,103.519,4.801465753424659
1.5,pixel,0.000000,1300,29.000,113.520,131.904,4.9068378378378394
1.5,pixel,0.000000,1600,29.000,141.905,160.404,4.994457534246575
1.5,pixel,0.000000,1900,29.000,170.406,188.727,5.04841506849315
1.5,pixel,0.000000,2100,29.000,198.729,217.184,4.986178378378376
1.5,pixel,0.000000,2400,29.000,227.186,245.583,4.887199999999998
1.5,pixel,0.000000,2700,29.000,255.585,274.028,4.952779729729732
1.5,pixel,0.000000,3000,29.000,284.029,302.355,4.818542465753424
1.5,pixel,0.100000,100,29.000,312.399,330.632,4.86562191780822
1.5,pixel,0.100000,400,29.000,340.633,358.774,4.792466666666668
1.5,pixel,0.100000,700,29.000,368.775,386.950,4.652368055555556
1.5,pixel,0.100000,1000,29.000,396.951,415.152,4.5829301369863
1.5,pixel,0.100000,1300,29.000,425.154,443.326,4.642900000000001
1.5,pixel,0.100000,1600,29.000,453.327,471.468,4.690416438356165
1.5,pixel,0.100000,1900,29.000,481.470,499.629,4.583798611111112
1.5,pixel,0.100000,2100,29.000,509.630,527.844,4.5961260273972595
1.5,pixel,0.100000,2400,29.000,537.845,556.039,4.690271232876711
1.5,pixel,0.100000,2700,29.000,566.040,584.219,4.642466666666667
1.5,pixel,0.100000,3000,29.000,594.220,612.356,4.577612500000001
1.5,area,0.000000,100,29.000,622.359,641.229,4.995444736842109
1.5,area,0.000000,400,29.000,651.231,670.056,5.177381333333335
1.5,area,0.000000,700,29.000,680.057,698.837,5.158836000000002
1.5,area,0.000000,1000,29.000,708.839,727.724,5.263741333333333
1.5,area,0.000000,1300,29.000,737.726,756.568,5.147904000000002
1.5,area,0.000000,1600,29.000,766.570,785.469,5.096992000000001
1.5,area,0.000000,1900,29.000,795.470,814.426,5.210698666666667
1.5,area,0.000000,2100,29.000,824.427,843.289,5.106273684210528
1.5,area,0.000000,2400,29.000,853.291,872.076,5.2009243243243235
1.5,area,0.000000,2700,29.000,882.078,900.874,5.134453333333332
1.5,area,0.000000,3000,29.000,910.875,929.718,5.108698666666667
1.5,area,0.100000,100,29.000,939.721,958.150,4.958477027027028
1.5,area,0.100000,400,29.000,968.151,986.683,4.68429864864865
1.5,area,0.100000,700,29.000,996.684,1015.118,4.691172602739724
1.5,area,0.100000,1000,29.000,1025.119,1043.634,4.722872972972974
1.5,area,0.100000,1300,29.000,1053.635,1072.154,4.706959459459458
1.5,area,0.100000,1600,29.000,1082.156,1100.660,4.71967972972973
1.5,area,0.100000,1900,29.000,1110.661,1129.084,4.696964383561643
1.5,area,0.100000,2100,29.000,1139.085,1157.554,4.677171621621625
1.5,area,0.100000,2400,29.000,1167.555,1185.991,4.7262716216216205
1.5,area,0.100000,2700,29.000,1195.992,1214.415,4.749969863013699
1.5,area,0.100000,3000,29.000,1224.416,1242.876,4.775063513513515
