Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
1.5,pixel,0.06,3000,29.000,2155.210,2173.645,4.723787837837839
1.5,pixel,0.07,100,29.000,2183.647,2201.988,4.789991780821921
1.5,pixel,0.07,400,29.000,2211.989,2230.348,4.810649315068492
1.5,pixel,0.07,700,29.000,2240.349,2258.665,4.7049589041095885
1.5,pixel,0.07,1000,29.000,2268.666,2287.009,4.782480821917807
1.5,pixel,0.07,1300,29.000,2297.010,2315.305,4.718917808219178
1.5,pixel,0.07,1600,29.000,2325.306,2343.669,4.6688986301369875
1.5,pixel,0.07,1900,29.000,2353.670,2372.077,4.805333783783784
1.5,pixel,0.07,2100,29.000,2382.078,2400.433,4.802246575342465
1.5,pixel,0.07,2400,29.000,2410.434,2428.885,4.691504054054056
1.5,pixel,0.07,2700,29.000,2438.886,2457.193,4.799053424657534
1.5,pixel,0.07,3000,29.000,2467.194,2485.621,4.801685135135134
1.5,pixel,0.08,100,29.000,2495.623,2513.862,4.696650684931507
1.5,pixel,0.08,400,29.000,2523.863,2542.037,4.761372602739726
1.5,pixel,0.08,700,29.000,2552.038,2570.288,4.709291780821916
1.5,pixel,0.08,1000,29.000,2580.289,2598.515,4.824545833333334
1.5,pixel,0.08,1300,29.000,2608.516,2626.728,4.690893150684933
1.5,pixel,0.08,1600,29.000,2636.729,2654.912,4.798311111111111
1.5,pixel,0.08,1900,29.000,2664.913,2683.173,4.828718055555557
1.5,pixel,0.08,2100,29.000,2693.174,2711.414,4.76389315068493
1.5,pixel,0.08,2400,29.000,2721.415,2739.676,4.8505602739726035
1.5,pixel,0.08,2700,29.000,2749.677,2767.932,4.685163013698631
1.5,pixel,0.08,3000,29.000,2777.933,2796.177,4.794249315068495
1.5,pixel,0.09,100,29.000,2806.179,2824.401,4.8263430555555535
1.5,pixel,0.09,400,29.000,2834.402,2852.621,4.725720547945207
1.5,pixel,0.09,700,29.000,2862.622,2880.908,4.75881917808219
1.5,pixel,0.09,1000,29.000,2890.910,2909.229,4.71971917808219
