Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,edge,0.0016,2100,0.7536
1.5,edge,0.0016,2400,0.7566
1.5,edge,0.0016,2700,0.7552
1.5,edge,0.0016,3000,0.7552
1.5,edge,0.0020,100,0.6182
1.5,edge,0.0020,400,0.7221
1.5,edge,0.0020,700,0.7245
1.5,edge,0.0020,1000,0.7152
1.5,edge,0.0020,1300,0.7163
1.5,edge,0.0020,1600,0.7245
1.5,edge,0.0020,1900,0.7087
1.5,edge,0.0020,2100,0.7123
1.5,edge,0.0020,2400,0.7051
1.5,edge,0.0020,2700,0.7232
1.5,edge,0.0020,3000,0.7089
1.5,edge,0.0024,100,0.5919
1.5,edge,0.0024,400,0.6621
1.5,edge,0.0024,700,0.6709
1.5,edge,0.0024,1000,0.6683
1.5,edge,0.0024,1300,0.6864
1.5,edge,0.0024,1600,0.6713
1.5,edge,0.0024,1900,0.6704
1.5,edge,0.0024,2100,0.6763
1.5,edge,0.0024,2400,0.6725
1.5,edge,0.0024,2700,0.6665
1.5,edge,0.0024,3000,0.6694
1.5,edge,0.0028,100,0.5265
1.5,edge,0.0028,400,0.6120
1.5,edge,0.0028,700,0.6497
1.5,edge,0.0028,1000,0.6541
1.5,edge,0.0028,1300,0.6623
1.5,edge,0.0028,1600,0.6523
1.5,edge,0.0028,1900,0.6578
1.5,edge,0.0028,2100,0.6587
1.5,edge,0.0028,2400,0.6456
1.5,edge,0.0028,2700,0.6584
1.5,edge,0.0028,3000,0.6510
1.5,edge,0.0032,100,0.4740
1.5,edge,0.0032,400,0.5843
1.5,edge,0.0032,700,0.5980
1.5,edge,0.0032,1000,0.6033
1.5,edge,0.0032,1300,0.5951
1.5,edge,0.0032,1600,0.6002
1.5,edge,0.0032,1900,0.5930
1.5,edge,0.0032,2100,0.6056
1.5,edge,0.0032,2400,0.5978
1.5,edge,0.0032,2700,0.5998
1.5,edge,0.0032,3000,0.5969
1.5,edge,0.0036,100,0.3914
1.5,edge,0.0036,400,0.5181
1.5,edge,0.0036,700,0.5189
1.5,edge,0.0036,1000,0.5016
1.5,edge,0.0036,1300,0.5172
1.5,edge,0.0036,1600,0.5025
1.5,edge,0.0036,1900,0.5026
1.5,edge,0.0036,2100,0.5239
1.5,edge,0.0036,2400,0.5283
1.5,edge,0.0036,2700,0.5323
1.5,edge,0.0036,3000,0.5332
1.5,edge,0.0040,100,0.2579
1.5,edge,0.0040,400,0.4178
1.5,edge,0.0040,700,0.4408
1.5,edge,0.0040,1000,0.4399
1.5,edge,0.0040,1300,0.4271
1.5,edge,0.0040,1600,0.4286
1.5,edge,0.0040,1900,0.4500
1.5,edge,0.0040,2100,0.4410
1.5,edge,0.0040,2400,0.4489
1.5,edge,0.0040,2700,0.4244
1.5,edge,0.0040,3000,0.4255
1.5,pixel,0.01,100,0.5918
1.5,pixel,0.01,400,0.6852
1.5,pixel,0.01,700,0.7149
1.5,pixel,0.01,1000,0.7035
1.5,pixel,0.01,1300,0.6979
1.5,pixel,0.01,1600,0.6880
1.5,pixel,0.01,1900,0.6982
1.5,pixel,0.01,2100,0.7027
1.5,pixel,0.01,2400,0.6948
1.5,pixel,0.01,2700,0.7102
1.5,pixel,0.01,3000,0.6946
1.5,pixel,0.02,100,0.5216
1.5,pixel,0.02,400,0.6552
1.5,pixel,0.02,700,0.6747
1.5,pixel,0.02,1000,0.6856
1.5,pixel,0.02,1300,0.6759
1.5,pixel,0.02,1600,0.6838
1.5,pixel,0.02,1900,0.6798
1.5,pixel,0.02,2100,0.6813
1.5,pixel,0.02,2400,0.6765
1.5,pixel,0.02,2700,0.6768
1.5,pixel,0.02,3000,0.6822
1.5,pixel,0.03,100,0.5077
1.5,pixel,0.03,400,0.6606
1.5,pixel,0.03,700,0.6499
1.5,pixel,0.03,1000,0.6535
1.5,pixel,0.03,1300,0.6580
1.5,pixel,0.03,1600,0.6554
1.5,pixel,0.03,1900,0.6525
1.5,pixel,0.03,2100,0.6682
1.5,pixel,0.03,2400,0.6493
1.5,pixel,0.03,2700,0.6570
1.5,pixel,0.03,3000,0.6623
1.5,pixel,0.04,100,0.5035
1.5,pixel,0.04,400,0.6271
1.5,pixel,0.04,700,0.6341
1.5,pixel,0.04,1000,0.6348
1.5,pixel,0.04,1300,0.6278
1.5,pixel,0.04,1600,0.6480
1.5,pixel,0.04,1900,0.6417
1.5,pixel,0.04,2100,0.6432
1.5,pixel,0.04,2400,0.6411
1.5,pixel,0.04,2700,0.6479
1.5,pixel,0.04,3000,0.6543
1.5,pixel,0.05,100,0.5102
1.5,pixel,0.05,400,0.6050
1.5,pixel,0.05,700,0.6258
1.5,pixel,0.05,1000,0.6373
1.5,pixel,0.05,1300,0.6412
1.5,pixel,0.05,1600,0.6407
1.5,pixel,0.05,1900,0.6269
1.5,pixel,0.05,2100,0.6176
1.5,pixel,0.05,2400,0.6292
1.5,pixel,0.05,2700,0.6306
1.5,pixel,0.05,3000,0.6379
1.5,pixel,0.06,100,0.4924
1.5,pixel,0.06,400,0.5969
1.5,pixel,0.06,700,0.6101
1.5,pixel,0.06,1000,0.6264
1.5,pixel,0.06,1300,0.6213
1.5,pixel,0.06,1600,0.6140
1.5,pixel,0.06,1900,0.6186
1.5,pixel,0.06,2100,0.6090
1.5,pixel,0.06,2400,0.6035
1.5,pixel,0.06,2700,0.6144
1.5,pixel,0.06,3000,0.6200
1.5,pixel,0.07,100,0.4468
1.5,pixel,0.07,400,0.5740
1.5,pixel,0.07,700,0.5868
1.5,pixel,0.07,1000,0.5971
1.5,pixel,0.07,1300,0.6035
1.5,pixel,0.07,1600,0.6088
1.5,pixel,0.07,1900,0.6059
1.5,pixel,0.07,2100,0.6031
1.5,pixel,0.07,2400,0.5977
1.5,pixel,0.07,2700,0.5958
1.5,pixel,0.07,3000,0.6045
1.5,pixel,0.08,100,0.4669
1.5,pixel,0.08,400,0.5608
1.5,pixel,0.08,700,0.5930
1.5,pixel,0.08,1000,0.5721
1.5,pixel,0.08,1300,0.5782
1.5,pixel,0.08,1600,0.5719
1.5,pixel,0.08,1900,0.5853
1.5,pixel,0.08,2100,0.5773
1.5,pixel,0.08,2400,0.5829
1.5,pixel,0.08,2700,0.5824
1.5,pixel,0.08,3000,0.5836
1.5,pixel,0.09,100,0.3674
1.5,pixel,0.09,400,0.5452
1.5,pixel,0.09,700,0.5561
1.5,pixel,0.09,1000,0.5456
1.5,pixel,0.09,1300,0.5544
1.5,pixel,0.09,1600,0.5582
1.5,pixel,0.09,1900,0.5497
1.5,pixel,0.09,2100,0.5546
1.5,pixel,0.09,2400,0.5536
1.5,pixel,0.09,2700,0.5539
1.5,pixel,0.09,3000,0.5563
1.50,area,0.0,100,0.7505
1.50,area,0.0,400,0.8278
1.50,area,0.0,700,0.8302
1.50,area,0.0,1000,0.8214
1.50,area,0.0,1300,0.8229
1.50,area,0.0,1600,0.8186
1.50,area,0.0,1900,0.8157
1.50,area,0.0,2100,0.8210
1.50,area,0.0,2400,0.8169
1.50,area,0.0,2700,0.8104
1.50,area,0.0,3000,0.8187
1.50,area,1.0,100,0.0022
1.50,area,1.0,400,0.0022
1.50,area,1.0,700,0.0022
1.50,area,1.0,1000,0.0022
1.50,area,1.0,1300,0.0022
1.50,area,1.0,1600,0.0022
1.50,area,1.0,1900,0.0022
1.50,area,1.0,2100,0.0022
1.50,area,1.0,2400,0.0022
1.50,area,1.0,2700,0.0022
1.50,area,1.0,3000,0.0022
1.50,pixel,0.0,100,0.8121
1.50,pixel,0.0,400,0.8319
1.50,pixel,0.0,700,0.8112
1.50,pixel,0.0,1000,0.8113
1.50,pixel,0.0,1300,0.8264
1.50,pixel,0.0,1600,0.8229
1.50,pixel,0.0,1900,0.8262
1.50,pixel,0.0,2100,0.8216
1.50,pixel,0.0,2400,0.8265
1.50,pixel,0.0,2700,0.8193
1.50,pixel,0.0,3000,0.8281
1.50,pixel,1.0,100,0.0022
1.50,pixel,1.0,400,0.0022
1.50,pixel,1.0,700,0.0022
1.50,pixel,1.0,1000,0.0022
1.50,pixel,1.0,1300,0.0022
1.50,pixel,1.0,1600,0.0022
1.50,pixel,1.0,1900,0.0022
1.50,pixel,1.0,2100,0.0022
1.50,pixel,1.0,2400,0.0022
1.50,pixel,1.0,2700,0.0022
1.50,pixel,1.0,3000,0.0022
1.8,area,0.0000,100,0.5578
1.8,area,0.0000,400,0.7016
1.8,area,0.0000,700,0.6984
1.8,area,0.0000,1000,0.7022
1.8,area,0.0000,1300,0.6925
1.8,area,0.0000,1600,0.6967
1.8,area,0.0000,1900,0.7019
1.8,area,0.0000,2100,0.6993
1.8,area,0.0000,2400,0.7063
1.8,area,0.0000,2700,0.7018
1.8,area,0.0000,3000,0.6866
1.8,area,0.0100,100,0.5024
1.8,area,0.0100,400,0.6250
1.8,area,0.0100,700,0.6574
1.8,area,0.0100,1000,0.6701
1.8,area,0.0100,1300,0.6514
1.8,area,0.0100,1600,0.6686
1.8,area,0.0100,1900,0.6609
1.8,area,0.0100,2100,0.6556
1.8,area,0.0100,2400,0.6499
1.8,area,0.0100,2700,0.6354
1.8,area,0.0100,3000,0.6644
1.8,area,0.0200,100,0.4906
1.8,area,0.0200,400,0.6279
1.8,area,0.0200,700,0.6312
1.8,area,0.0200,1000,0.6205
1.8,area,0.0200,1300,0.6420
1.8,area,0.0200,1600,0.6530
1.8,area,0.0200,1900,0.6536
1.8,area,0.0200,2100,0.6474
1.8,area,0.0200,2400,0.6293
1.8,area,0.0200,2700,0.6293
1.8,area,0.0200,3000,0.6401
1.8,area,0.0300,100,0.4648
1.8,area,0.0300,400,0.5825
1.8,area,0.0300,700,0.6004
1.8,area,0.0300,1000,0.5982
1.8,area,0.0300,1300,0.6302
1.8,area,0.0300,1600,0.5981
1.8,area,0.0300,1900,0.6041
1.8,area,0.0300,2100,0.6068
1.8,area,0.0300,2400,0.6082
1.8,area,0.0300,2700,0.6264
