Frequency,Filter,Threshold,Frame Bitrate,Average IoU
2.4,pixel,0.0000,100,0.7937
2.4,pixel,0.0000,400,0.8225
2.4,pixel,0.0000,700,0.8275
2.4,pixel,0.0000,1000,0.8257
2.4,pixel,0.0000,1300,0.8229
2.4,pixel,0.0000,1600,0.8236
2.4,pixel,0.0000,1900,0.8257
2.4,pixel,0.0000,2100,0.8243
2.4,pixel,0.0000,2400,0.8264
2.4,pixel,0.0000,2700,0.8270
2.4,pixel,0.0000,3000,0.8265
2.4,pixel,0.0100,100,0.7481
2.4,pixel,0.0100,400,0.8063
2.4,pixel,0.0100,700,0.8019
2.4,pixel,0.0100,1000,0.8059
2.4,pixel,0.0100,1300,0.8080
2.4,pixel,0.0100,1600,0.8075
2.4,pixel,0.0100,1900,0.8089
2.4,pixel,0.0100,2100,0.8045
2.4,pixel,0.0100,2400,0.8079
2.4,pixel,0.0100,2700,0.8080
2.4,pixel,0.0100,3000,0.8092
2.4,pixel,0.0200,100,0.7311
2.4,pixel,0.0200,400,0.7747
2.4,pixel,0.0200,700,0.7840
2.4,pixel,0.0200,1000,0.7746
2.4,pixel,0.0200,1300,0.7850
2.4,pixel,0.0200,1600,0.7746
2.4,pixel,0.0200,1900,0.7824
2.4,pixel,0.0200,2100,0.7734
2.4,pixel,0.0200,2400,0.7804
2.4,pixel,0.0200,2700,0.7773
2.4,pixel,0.0200,3000,0.7780
2.4,pixel,0.0300,100,0.6876
2.4,pixel,0.0300,400,0.7649
2.4,pixel,0.0300,700,0.7605
2.4,pixel,0.0300,1000,0.7562
2.4,pixel,0.0300,1300,0.7559
2.4,pixel,0.0300,1600,0.7566
2.4,pixel,0.0300,1900,0.7557
2.4,pixel,0.0300,2100,0.7514
2.4,pixel,0.0300,2400,0.7557
2.4,pixel,0.0300,2700,0.7528
2.4,pixel,0.0300,3000,0.7574
2.4,pixel,0.0400,100,0.6589
2.4,pixel,0.0400,400,0.7263
2.4,pixel,0.0400,700,0.7468
2.4,pixel,0.0400,1000,0.7300
2.4,pixel,0.0400,1300,0.7345
2.4,pixel,0.0400,1600,0.7394
2.4,pixel,0.0400,1900,0.7370
2.4,pixel,0.0400,2100,0.7404
2.4,pixel,0.0400,2400,0.7393
2.4,pixel,0.0400,2700,0.7427
2.4,pixel,0.0400,3000,0.7370
2.4,pixel,0.0500,100,0.6418
2.4,pixel,0.0500,400,0.6834
2.4,pixel,0.0500,700,0.6970
2.4,pixel,0.0500,1000,0.7097
2.4,pixel,0.0500,1300,0.7044
2.4,pixel,0.0500,1600,0.7102
2.4,pixel,0.0500,1900,0.7139
2.4,pixel,0.0500,2100,0.7088
2.4,pixel,0.0500,2400,0.7148
2.4,pixel,0.0500,2700,0.7143
2.4,pixel,0.0500,3000,0.7060
2.4,pixel,0.0600,100,0.5567
2.4,pixel,0.0600,400,0.6545
2.4,pixel,0.0600,700,0.6611
2.4,pixel,0.0600,1000,0.6651
2.4,pixel,0.0600,1300,0.6691
2.4,pixel,0.0600,1600,0.6618
2.4,pixel,0.0600,1900,0.6661
2.4,pixel,0.0600,2100,0.6702
2.4,pixel,0.0600,2400,0.6650
2.4,pixel,0.0600,2700,0.6702
2.4,pixel,0.0600,3000,0.6691
2.4,pixel,0.0700,100,0.5000
2.4,pixel,0.0700,400,0.6133
2.4,pixel,0.0700,700,0.6251
2.4,pixel,0.0700,1000,0.6228
2.4,pixel,0.0700,1300,0.6347
2.4,pixel,0.0700,1600,0.6278
2.4,pixel,0.0700,1900,0.6348
2.4,pixel,0.0700,2100,0.6323
2.4,pixel,0.0700,2400,0.6358
2.4,pixel,0.0700,2700,0.6385
2.4,pixel,0.0700,3000,0.6367
2.4,pixel,0.0800,100,0.4393
2.4,pixel,0.0800,400,0.5711
2.4,pixel,0.0800,700,0.5862
2.4,pixel,0.0800,1000,0.5863
2.4,pixel,0.0800,1300,0.5905
2.4,pixel,0.0800,1600,0.5923
2.4,pixel,0.0800,1900,0.6041
2.4,pixel,0.0800,2100,0.5880
2.4,pixel,0.0800,2400,0.5921
2.4,pixel,0.0800,2700,0.5953
2.4,pixel,0.0800,3000,0.5969
2.4,pixel,0.0900,100,0.3892
2.4,pixel,0.0900,400,0.5344
2.4,pixel,0.0900,700,0.5542
2.4,pixel,0.0900,1000,0.5582
2.4,pixel,0.0900,1300,0.5587
2.4,pixel,0.0900,1600,0.5480
2.4,pixel,0.0900,1900,0.5574
2.4,pixel,0.0900,2100,0.5525
2.4,pixel,0.0900,2400,0.5568
2.4,pixel,0.0900,2700,0.5560
2.4,pixel,0.0900,3000,0.5564
2.4,pixel,0.1000,100,0.2323
2.4,pixel,0.1000,400,0.4630
2.4,pixel,0.1000,700,0.4941
2.4,pixel,0.1000,1000,0.5097
2.4,pixel,0.1000,1300,0.4928
2.4,pixel,0.1000,1600,0.5363
2.4,pixel,0.1000,1900,0.4997
2.4,pixel,0.1000,2100,0.5201
2.4,pixel,0.1000,2400,0.5155
2.4,pixel,0.1000,2700,0.5215
2.4,pixel,0.1000,3000,0.5101
