Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
2.4,pixel,0.000000,100,29.000,0.028,18.266,6.953682191780823
2.4,pixel,0.000000,400,29.000,28.267,46.530,6.384754794520547
2.4,pixel,0.000000,700,29.000,56.531,74.662,6.4765458333333354
2.4,pixel,0.000000,1000,29.000,84.663,102.862,6.44313424657534
2.4,pixel,0.000000,1300,29.000,112.864,131.182,6.5845
2.4,pixel,0.000000,1600,29.000,141.184,159.395,6.672516438356163
2.4,pixel,0.000000,1900,29.000,169.396,187.575,6.647231944444441
2.4,pixel,0.000000,2100,29.000,197.577,215.815,6.691234246575343
2.4,pixel,0.000000,2400,29.000,225.816,244.023,6.6213750000000005
2.4,pixel,0.000000,2700,29.000,254.024,272.316,6.768406849315069
2.4,pixel,0.000000,3000,29.000,282.317,300.515,6.744839726027395
2.4,pixel,0.010000,100,29.000,310.517,328.746,6.86947397260274
2.4,pixel,0.010000,400,29.000,338.748,356.973,7.0427205479452075
2.4,pixel,0.010000,700,29.000,366.974,385.178,7.0460361111111105
2.4,pixel,0.010000,1000,29.000,395.180,413.391,7.126793150684933
2.4,pixel,0.010000,1300,29.000,423.392,441.633,7.139036111111112
2.4,pixel,0.010000,1600,29.000,451.634,469.924,7.068586301369865
2.4,pixel,0.010000,1900,29.000,479.925,498.148,7.106302739726026
2.4,pixel,0.010000,2100,29.000,508.149,526.375,7.100635616438357
2.4,pixel,0.010000,2400,29.000,536.376,554.604,7.148154166666667
2.4,pixel,0.010000,2700,29.000,564.606,582.873,7.1320150684931525
2.4,pixel,0.010000,3000,29.000,592.874,611.186,7.065736986301371
2.4,pixel,0.020000,100,29.000,621.188,639.340,7.1199876712328765
2.4,pixel,0.020000,400,29.000,649.340,667.565,7.127720833333336
2.4,pixel,0.020000,700,29.000,677.567,695.765,7.147630136986304
2.4,pixel,0.020000,1000,29.000,705.766,724.209,7.2773109589041125
2.4,pixel,0.020000,1300,29.000,734.211,752.523,7.0973095890410995
2.4,pixel,0.020000,1600,29.000,762.524,780.778,7.164160273972603
2.4,pixel,0.020000,1900,29.000,790.779,809.109,7.124913698630137
2.4,pixel,0.020000,2100,29.000,819.110,837.310,7.152341095890409
2.4,pixel,0.020000,2400,29.000,847.311,865.529,7.177552777777777
2.4,pixel,0.020000,2700,29.000,875.530,893.722,7.083426027397262
2.4,pixel,0.020000,3000,29.000,903.723,921.949,7.107806849315067
2.4,pixel,0.030000,100,29.000,931.951,950.272,7.173546575342464
2.4,pixel,0.030000,400,29.000,960.273,978.572,7.199280821917808
2.4,pixel,0.030000,700,29.000,988.572,1006.799,7.1810625
2.4,pixel,0.030000,1000,29.000,1016.800,1035.035,7.199087671232877
2.4,pixel,0.030000,1300,29.000,1045.037,1063.262,7.212508219178081
2.4,pixel,0.030000,1600,29.000,1073.263,1091.487,7.118759722222222
2.4,pixel,0.030000,1900,29.000,1101.489,1119.731,7.164112328767123
2.4,pixel,0.030000,2100,29.000,1129.732,1148.040,7.168017808219177
2.4,pixel,0.030000,2400,29.000,1158.042,1176.332,7.09344794520548
2.4,pixel,0.030000,2700,29.000,1186.333,1204.663,7.035035616438356
2.4,pixel,0.030000,3000,29.000,1214.665,1233.075,7.014289189189191
2.4,pixel,0.040000,100,29.000,1243.077,1261.319,6.9972958904109595
