Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,area,0.0000,100,0.8355
1.5,area,0.0000,400,0.8857
1.5,area,0.0000,700,0.8875
1.5,area,0.0000,1000,0.8939
1.5,area,0.0000,1300,0.8953
1.5,area,0.0000,1600,0.8950
1.5,area,0.0000,1900,0.8977
1.5,area,0.0000,2100,0.8954
1.5,area,0.0000,2400,0.8976
1.5,area,0.0000,2700,0.8977
1.5,area,0.0000,3000,0.8977
1.5,area,0.0100,100,0.7403
1.5,area,0.0100,400,0.8388
1.5,area,0.0100,700,0.8420
1.5,area,0.0100,1000,0.8435
1.5,area,0.0100,1300,0.8474
1.5,area,0.0100,1600,0.8494
1.5,area,0.0100,1900,0.8514
1.5,area,0.0100,2100,0.8497
1.5,area,0.0100,2400,0.8534
1.5,area,0.0100,2700,0.8527
1.5,area,0.0100,3000,0.8524
1.5,area,0.0200,100,0.6888
1.5,area,0.0200,400,0.7736
1.5,area,0.0200,700,0.7999
1.5,area,0.0200,1000,0.8086
1.5,area,0.0200,1300,0.8091
1.5,area,0.0200,1600,0.8135
1.5,area,0.0200,1900,0.8118
1.5,area,0.0200,2100,0.8105
1.5,area,0.0200,2400,0.8125
1.5,area,0.0200,2700,0.8108
1.5,area,0.0200,3000,0.8144
1.5,area,0.0300,100,0.6448
1.5,area,0.0300,400,0.7169
1.5,area,0.0300,700,0.7412
1.5,area,0.0300,1000,0.7581
1.5,area,0.0300,1300,0.7632
1.5,area,0.0300,1600,0.7635
1.5,area,0.0300,1900,0.7650
1.5,area,0.0300,2100,0.7623
1.5,area,0.0300,2400,0.7622
1.5,area,0.0300,2700,0.7632
1.5,area,0.0300,3000,0.7601
1.5,area,0.0400,100,0.5232
1.5,area,0.0400,400,0.6537
1.5,area,0.0400,700,0.6824
1.5,area,0.0400,1000,0.6852
1.5,area,0.0400,1300,0.7026
1.5,area,0.0400,1600,0.7039
1.5,area,0.0400,1900,0.7006
1.5,area,0.0400,2100,0.7006
1.5,area,0.0400,2400,0.7087
1.5,area,0.0400,2700,0.7068
1.5,area,0.0400,3000,0.6974
1.5,area,0.0500,100,0.4599
1.5,area,0.0500,400,0.5914
1.5,area,0.0500,700,0.6377
1.5,area,0.0500,1000,0.6502
1.5,area,0.0500,1300,0.6519
1.5,area,0.0500,1600,0.6646
1.5,area,0.0500,1900,0.6644
1.5,area,0.0500,2100,0.6525
1.5,area,0.0500,2400,0.6722
1.5,area,0.0500,2700,0.6582
1.5,area,0.0500,3000,0.6595
1.5,area,0.0600,100,0.4277
1.5,area,0.0600,400,0.5873
1.5,area,0.0600,700,0.6193
1.5,area,0.0600,1000,0.6437
1.5,area,0.0600,1300,0.6454
1.5,area,0.0600,1600,0.6339
1.5,area,0.0600,1900,0.6326
1.5,area,0.0600,2100,0.6543
1.5,area,0.0600,2400,0.6501
1.5,area,0.0600,2700,0.6491
1.5,area,0.0600,3000,0.6541
1.5,area,0.0700,100,0.3271
1.5,area,0.0700,400,0.5295
1.5,area,0.0700,700,0.5687
1.5,area,0.0700,1000,0.6083
1.5,area,0.0700,1300,0.6076
1.5,area,0.0700,1600,0.6319
1.5,area,0.0700,1900,0.6141
1.5,area,0.0700,2100,0.6147
1.5,area,0.0700,2400,0.6088
1.5,area,0.0700,2700,0.5962
1.5,area,0.0700,3000,0.6256
1.5,area,0.0800,100,0.3472
1.5,area,0.0800,400,0.4950
1.5,area,0.0800,700,0.5914
1.5,area,0.0800,1000,0.6013
