Frequency,Filter,Threshold,Frame Bitrate,FPS,Start Time,End Time,Avg Energy
2.4,edge,0.000000,100,29.000,0.020,18.867,7.732002666666669
2.4,edge,0.000000,400,29.000,28.868,47.681,7.975661333333336
2.4,edge,0.000000,700,29.000,57.682,78.852,7.753157647058822
2.4,edge,0.000000,1000,29.000,88.854,107.749,8.001194666666668
2.4,edge,0.000000,1300,29.000,117.749,136.513,7.955762666666668
2.4,edge,0.000000,1600,29.000,146.513,165.377,7.902502666666664
2.4,edge,0.000000,1900,29.000,175.378,194.285,7.897105333333332
2.4,edge,0.000000,2100,29.000,204.286,223.319,7.991788157894737
2.4,edge,0.000000,2400,29.000,233.320,252.109,7.971416
2.4,edge,0.000000,2700,29.000,262.110,280.929,7.980830666666668
2.4,edge,0.000000,3000,29.000,290.930,309.728,7.909375999999999
2.4,edge,0.000400,100,29.000,319.733,338.617,7.797474666666667
2.4,edge,0.000400,400,29.000,348.617,367.536,7.810484210526314
2.4,edge,0.000400,700,29.000,377.537,396.409,7.812657333333337
2.4,edge,0.000400,1000,29.000,406.410,425.229,7.8370773333333315
2.4,edge,0.000400,1300,29.000,435.230,454.149,7.865972
2.4,edge,0.000400,1600,29.000,464.149,482.917,7.865268000000001
2.4,edge,0.000400,1900,29.000,492.918,511.898,7.870421052631578
2.4,edge,0.000400,2100,29.000,521.899,540.876,7.891078666666666
2.4,edge,0.000400,2400,29.000,550.877,569.778,7.9031746666666685
2.4,edge,0.000400,2700,29.000,579.779,598.678,7.944153947368422
2.4,edge,0.000400,3000,29.000,608.679,627.520,7.976840000000004
2.4,edge,0.000800,100,29.000,637.522,656.297,7.908561333333335
2.4,edge,0.000800,400,29.000,666.298,685.217,7.83127763157895
2.4,edge,0.000800,700,29.000,695.217,714.300,7.925674999999999
2.4,edge,0.000800,1000,29.000,724.301,743.135,7.998820000000002
2.4,edge,0.000800,1300,29.000,753.136,772.112,7.948288157894734
2.4,edge,0.000800,1600,29.000,782.113,800.910,7.909217333333332
2.4,edge,0.000800,1900,29.000,810.911,829.740,7.885778666666667
2.4,edge,0.000800,2100,29.000,839.741,858.565,7.940128
2.4,edge,0.000800,2400,29.000,868.566,887.501,7.899415789473686
2.4,edge,0.000800,2700,29.000,897.502,916.437,7.934216000000003
2.4,edge,0.000800,3000,29.000,926.437,945.314,7.871996052631582
2.4,edge,0.001200,100,29.000,955.316,974.090,7.932406756756759
2.4,edge,0.001200,400,29.000,984.092,1003.074,7.8633250000000015
