Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,edge,0.0008,1000,0.7272
1.5,edge,0.0008,1300,0.7249
1.5,edge,0.0008,1600,0.7306
1.5,edge,0.0008,1900,0.7241
1.5,edge,0.0008,2100,0.7239
1.5,edge,0.0008,2400,0.7329
1.5,edge,0.0008,2700,0.7299
1.5,edge,0.0008,3000,0.7336
1.5,edge,0.0012,100,0.0000
1.5,edge,0.0012,400,0.3479
1.5,edge,0.0012,700,0.7296
1.5,edge,0.0012,1000,0.7251
1.5,edge,0.0012,1300,0.7264
1.5,edge,0.0012,1600,0.7261
1.5,edge,0.0012,1900,0.7275
1.5,edge,0.0012,2100,0.7307
1.5,edge,0.0012,2400,0.7231
1.5,edge,0.0012,2700,0.7334
1.5,edge,0.0012,3000,0.7312
1.5,edge,0.0016,100,0.0000
1.5,edge,0.0016,400,0.6937
1.5,edge,0.0016,700,0.7316
1.5,edge,0.0016,1000,0.7270
1.5,edge,0.0016,1300,0.7272
1.5,edge,0.0016,1600,0.7308
1.5,edge,0.0016,1900,0.7235
1.5,edge,0.0016,2100,0.7292
1.5,edge,0.0016,2400,0.7339
1.5,edge,0.0016,2700,0.7271
1.5,edge,0.0016,3000,0.7312
1.5,edge,0.0020,100,0.0000
1.5,edge,0.0020,400,0.6870
1.5,edge,0.0020,700,0.7287
1.5,edge,0.0020,1000,0.7244
1.5,edge,0.0020,1300,0.7234
1.5,edge,0.0020,1600,0.7262
1.5,edge,0.0020,1900,0.7301
1.5,edge,0.0020,2100,0.7306
1.5,edge,0.0020,2400,0.7262
1.5,edge,0.0020,2700,0.7319
1.5,edge,0.0020,3000,0.7318
1.5,edge,0.0024,100,0.0000
1.5,edge,0.0024,400,0.6826
1.5,edge,0.0024,700,0.7285
1.5,edge,0.0024,1000,0.7300
1.5,edge,0.0024,1300,0.7314
1.5,edge,0.0024,1600,0.7265
1.5,edge,0.0024,1900,0.7262
1.5,edge,0.0024,2100,0.7306
1.5,edge,0.0024,2400,0.7298
1.5,edge,0.0024,2700,0.7338
1.5,edge,0.0024,3000,0.7296
1.5,edge,0.0028,100,0.0000
1.5,edge,0.0028,400,0.6859
1.5,edge,0.0028,700,0.7297
1.5,edge,0.0028,1000,0.7262
1.5,edge,0.0028,1300,0.7310
1.5,edge,0.0028,1600,0.7330
1.5,edge,0.0028,1900,0.7239
1.5,edge,0.0028,2100,0.7237
1.5,edge,0.0028,2400,0.7292
1.5,edge,0.0028,2700,0.7328
1.5,edge,0.0028,3000,0.7304
1.5,edge,0.0032,100,0.0000
1.5,edge,0.0032,400,0.3474
1.5,edge,0.0032,700,0.7259
1.5,edge,0.0032,1000,0.7267
1.5,edge,0.0032,1300,0.7278
1.5,edge,0.0032,1600,0.7261
1.5,edge,0.0032,1900,0.7255
1.5,edge,0.0032,2100,0.7309
1.5,edge,0.0032,2400,0.7275
1.5,edge,0.0032,2700,0.7330
1.5,edge,0.0032,3000,0.7286
1.5,edge,0.0036,100,0.0000
1.5,edge,0.0036,400,0.6889
1.5,edge,0.0036,700,0.7295
1.5,edge,0.0036,1000,0.7267
1.5,edge,0.0036,1300,0.7282
1.5,edge,0.0036,1600,0.7308
1.5,edge,0.0036,1900,0.7305
1.5,edge,0.0036,2100,0.7226
1.5,edge,0.0036,2400,0.7329
1.5,edge,0.0036,2700,0.7316
1.5,edge,0.0036,3000,0.7318
1.5,edge,0.0040,100,0.0000
1.5,edge,0.0040,400,0.6705
1.5,edge,0.0040,700,0.7285
1.5,edge,0.0040,1000,0.7242
1.5,edge,0.0040,1300,0.7304
1.5,edge,0.0040,1600,0.7264
1.5,edge,0.0040,1900,0.7246
1.5,edge,0.0040,2100,0.7290
1.5,edge,0.0040,2400,0.7263
1.5,edge,0.0040,2700,0.7329
1.5,edge,0.0040,3000,0.7293
1.5,pixel,0.0000,100,0.8752
1.5,pixel,0.0000,400,0.9356
1.5,pixel,0.0000,700,0.9406
1.5,pixel,0.0000,1000,0.9362
1.5,pixel,0.0000,1300,0.9437
1.5,pixel,0.0000,1600,0.9411
1.5,pixel,0.0000,1900,0.9378
1.5,pixel,0.0000,2100,0.9428
1.5,pixel,0.0000,2400,0.9408
1.5,pixel,0.0000,2700,0.9381
1.5,pixel,0.0000,3000,0.9409
1.5,pixel,0.0100,100,0.4361
1.5,pixel,0.0100,400,0.8353
1.5,pixel,0.0100,700,0.8521
1.5,pixel,0.0100,1000,0.8653
1.5,pixel,0.0100,1300,0.8497
1.5,pixel,0.0100,1600,0.8525
1.5,pixel,0.0100,1900,0.8663
1.5,pixel,0.0100,2100,0.8580
1.5,pixel,0.0100,2400,0.8633
1.5,pixel,0.0100,2700,0.8542
1.5,pixel,0.0100,3000,0.8553
1.5,pixel,0.0200,100,0.4051
1.5,pixel,0.0200,400,0.7840
1.5,pixel,0.0200,700,0.7807
1.5,pixel,0.0200,1000,0.8379
1.5,pixel,0.0200,1300,0.7972
1.5,pixel,0.0200,1600,0.8387
1.5,pixel,0.0200,1900,0.8017
1.5,pixel,0.0200,2100,0.8389
1.5,pixel,0.0200,2400,0.8419
1.5,pixel,0.0200,2700,0.8478
1.5,pixel,0.0200,3000,0.8431
1.5,pixel,0.0300,100,0.1718
1.5,pixel,0.0300,400,0.7223
1.5,pixel,0.0300,700,0.7503
1.5,pixel,0.0300,1000,0.7467
1.5,pixel,0.0300,1300,0.7549
1.5,pixel,0.0300,1600,0.7566
1.5,pixel,0.0300,1900,0.7623
1.5,pixel,0.0300,2100,0.7539
1.5,pixel,0.0300,2400,0.7702
1.5,pixel,0.0300,2700,0.7697
1.5,pixel,0.0300,3000,0.7743
1.5,pixel,0.0400,100,0.0000
1.5,pixel,0.0400,400,0.7341
1.5,pixel,0.0400,700,0.7249
1.5,pixel,0.0400,1000,0.7657
1.5,pixel,0.0400,1300,0.7255
