Frequency,Filter,Threshold,Frame Bitrate,Frame Count
1.5,edge,0.0016,1900,855
1.5,edge,0.0016,2100,840
1.5,edge,0.0016,2400,849
1.5,edge,0.0016,2700,832
1.5,edge,0.0016,3000,850
1.5,edge,0.0016,400,907
1.5,edge,0.0016,700,896
1.5,edge,0.0020,100,758
1.5,edge,0.0020,1000,706
1.5,edge,0.0020,1300,709
1.5,edge,0.0020,1600,702
1.5,edge,0.0020,1900,688
1.5,edge,0.0020,2100,684
1.5,edge,0.0020,2400,675
1.5,edge,0.0020,2700,670
1.5,edge,0.0020,3000,681
1.5,edge,0.0020,400,739
1.5,edge,0.0020,700,716
1.5,edge,0.0024,100,573
1.5,edge,0.0024,1000,551
1.5,edge,0.0024,1300,544
1.5,edge,0.0024,1600,534
1.5,edge,0.0024,1900,538
1.5,edge,0.0024,2100,530
1.5,edge,0.0024,2400,534
1.5,edge,0.0024,2700,528
1.5,edge,0.0024,3000,526
1.5,edge,0.0024,400,560
1.5,edge,0.0024,700,550
1.5,edge,0.0028,100,415
1.5,edge,0.0028,1000,396
1.5,edge,0.0028,1300,390
1.5,edge,0.0028,1600,391
1.5,edge,0.0028,1900,390
1.5,edge,0.0028,2100,390
1.5,edge,0.0028,2400,384
1.5,edge,0.0028,2700,388
1.5,edge,0.0028,3000,386
1.5,edge,0.0028,400,407
1.5,edge,0.0028,700,402
1.5,edge,0.0032,100,304
1.5,edge,0.0032,1000,291
1.5,edge,0.0032,1300,288
1.5,edge,0.0032,1600,288
1.5,edge,0.0032,1900,285
1.5,edge,0.0032,2100,282
1.5,edge,0.0032,2400,281
1.5,edge,0.0032,2700,279
1.5,edge,0.0032,3000,278
1.5,edge,0.0032,400,298
1.5,edge,0.0032,700,294
1.5,edge,0.0036,100,236
1.5,edge,0.0036,1000,221
1.5,edge,0.0036,1300,217
1.5,edge,0.0036,1600,215
1.5,edge,0.0036,1900,214
1.5,edge,0.0036,2100,217
1.5,edge,0.0036,2400,216
1.5,edge,0.0036,2700,215
1.5,edge,0.0036,3000,216
1.5,edge,0.0036,400,227
1.5,edge,0.0036,700,227
