Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 3000), 4.469662318840575),
(1800, 3600, (0.0, 3000), 4.45515480880649),
(3600, 5400, (0.0, 3000), 4.534600218340613),
(5400, 7200, (0.0, 3000), 4.545949507119387),
(7200, 9000, (0.0, 3000), 4.517446810810809),
(9000, 10800, (0.0, 3000), 4.532287352625941),
(10800, 12600, (0.0, 3000), 4.458184138655462),
(12600, 14400, (0.0, 3000), 4.493254764397912),
(14400, 16200, (0.0, 3000), 4.499256171548121),
(16200, 18000, (0.0, 3000), 4.494261003070627),
(18000, 18002, (0.0, 3000), 4.039066666666667),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 3000), 4.466225700365404),
(1800, 3600, (0.0, 3000), 4.441716265750285),
(3600, 5400, (0.0, 3000), 4.499024427480918),
(5400, 7200, (0.0, 3000), 4.508816195652184),
(7200, 9000, (0.0, 3000), 4.501619868276621),
(9000, 10800, (0.0, 3000), 4.491515409482759),
(10800, 12600, (0.0, 3000), 4.47139787910922),
(12600, 14400, (0.0, 3000), 4.4700621964097245),
(14400, 16200, (0.0, 3000), 4.498981968911921),
(16200, 18000, (0.0, 3000), 4.440562576687122),
(18000, 18002, (0.0, 3000), 4.1455),
Frame Range Start, Frame Range End, Configuration, Average Energy
(0, 1800, (0.0, 3000), 4.466157560975624),
(1800, 3600, (0.0, 3000), 4.439346605293444),
(3600, 5400, (0.0, 3000), 4.521342192691035),
(5400, 7200, (0.0, 3000), 4.509181392818286),
(7200, 9000, (0.0, 3000), 4.498171741511495),
(9000, 10800, (0.0, 3000), 4.476193959007548),
(10800, 12600, (0.0, 3000), 4.449284518828456),
(12600, 14400, (0.0, 3000), 4.491891139240509),
(14400, 16200, (0.0, 3000), 4.4493308808290255),
(16200, 18000, (0.0, 3000), 4.443300818833157),
(18000, 18002, (0.0, 3000), 4.279466666666667),
